date,department,team,targeted_productivity,smv,wip,current_workers,optimized_workers,worker_change,overtime_blocks,baseline_productivity,worker_gain,overtime_block_gain,estimated_productivity
2015-03-11,finishing,1,0.75,3.94,,8,5,-3,0,0.8292159623377949,-0.005708154261777398,-3.4142434222173e-05,0.8463404251231271
2015-03-11,finishing,2,0.75,3.9,,8,11,3,0,0.7538257356021992,0.003791215950333382,0.00011493313799981753,0.7651993834531994
2015-03-11,finishing,3,0.8,4.6,,8,11,3,0,0.8293076417742203,0.01773192236727794,0.0,0.8825034088760542
2015-03-11,finishing,4,0.75,3.94,,8,5,-3,0,0.8084303306889606,-0.006430438343943856,-0.0005451850735556096,0.8277216457207922
2015-03-11,finishing,5,0.7,3.94,,12,9,-3,0,0.7425115769041113,-0.0005670994871112001,-0.0002137568538889134,0.7442128753654449
2015-03-11,finishing,6,0.7,2.9,,6,9,3,20,0.5130884117004445,0.0005840989988887824,0.001634489944555395,0.5475305075882188
2015-03-11,finishing,7,0.65,3.9,,8,11,3,20,0.5924078313037222,0.029272573709056005,0.0015941810700000891,0.712109173830892
2015-03-11,finishing,8,0.7,3.9,,8,11,3,20,0.6194134240472777,0.03658953052766645,0.0032799031647223753,0.7947800789247246
2015-03-11,finishing,9,0.75,2.9,,15,18,3,0,0.6940560655179049,0.004660824642944483,1.1102230246251565e-16,0.7080385394467383
2015-03-11,finishing,10,0.75,2.9,,8,11,3,0,0.673981004519596,0.014363035648055411,0.0008063025705554727,0.7170701114637622
2015-03-11,finishing,11,0.8,2.9,,10,7,-3,0,0.8566665713399989,-2.7623903499862656e-05,0.0,0.8567494430504985
2015-03-11,finishing,12,0.8,4.6,,9,12,3,0,0.8828992530566664,0.0016317269471105567,-0.005120529654611072,0.8877944338979981
2015-03-11,sewing,1,0.75,26.82,1322.0,59,56,-3,0,0.7843350454391433,0.0,1.1102230246251565e-16,0.7843350454391433
2015-03-11,sewing,2,0.75,16.1,971.0,45,48,3,0,0.7468091671569057,2.7156049986487574e-07,-2.220446049250313e-16,0.7468099818384053
2015-03-11,sewing,3,0.8,30.1,735.0,58,55,-3,0,0.7956835676850543,-0.00028547959805524936,1.1102230246251565e-16,0.7965400064792201
2015-03-11,sewing,4,0.75,26.82,1054.0,59,56,-3,0,0.776402764778145,0.0,0.0,0.776402764778145
2015-03-11,sewing,5,0.7,26.82,992.0,58,55,-3,0,0.6856318858434446,1.1102230246251565e-16,-0.00048186041066655694,0.6856318858434443
2015-03-11,sewing,6,0.7,23.41,1128.0,38,41,3,0,0.6900205505328896,0.0002765519782221837,-1.4121766666597146e-05,0.6908502064675561
2015-03-11,sewing,7,0.65,30.48,935.0,57,54,-3,0,0.6383666413615012,-0.00029876318716681727,0.0,0.6392629309230017
2015-03-11,sewing,8,0.7,30.48,914.0,57,54,-3,0,0.6996514938558899,-0.0007631834870556187,-0.000195838546111049,0.7019410443170567
2015-03-11,sewing,9,0.75,18.79,290.0,52,49,-3,0,0.7444228530517549,-1.1586292225640449e-06,0.0,0.7444263289394226
2015-03-11,sewing,10,0.75,21.82,1674.0,50,53,3,0,0.7429982247730724,0.0009371966369444706,0.0003203234736666172,0.7458098146839058
2015-03-11,sewing,11,0.8,11.41,560.0,58,61,3,0,0.7921613339342477,1.6915722220733898e-06,-0.00029509024361118463,0.7921664086509139
2015-03-11,sewing,12,0.8,15.26,470.0,34,31,-3,0,0.801028615482336,0.0,0.00011968895583314154,0.801028615482336
